S 111080,1 miss 
L 1910c0,8 miss 
L 1910a4,4 miss 
L 1910a0,4 hit 
L 115078,4 miss 
L 1510a0,4 miss eviction 
L 111194,4 miss 
S 1510a0,4 hit 
L 111198,4 hit 
S 1510a4,4 hit 
L 11119c,4 hit 
S 1510a8,4 hit 
L 1111a0,4 miss 
S 1510ac,4 hit 
L 1111a4,4 hit 
L 1111a8,4 hit 
L 1111ac,4 hit 
L 1111b0,4 hit 
L 111564,4 miss 
S 1510b0,4 hit 
L 111568,4 hit 
S 1510b4,4 hit 
L 11156c,4 hit 
S 1510b8,4 hit 
L 111570,4 hit 
S 1510bc,4 hit 
S 1514d0,4 miss eviction 
S 1514d4,4 hit 
S 1514d8,4 hit 
S 1514dc,4 hit 
L 111574,4 hit 
S 1514e0,4 miss 
L 111578,4 hit 
S 1514e4,4 hit 
L 11157c,4 hit 
S 1514e8,4 hit 
L 111580,4 miss eviction 
S 1514ec,4 hit 
L 111288,4 miss 
S 1511ac,4 miss eviction 
L 11128c,4 hit 
S 1511b0,4 hit 
L 111290,4 hit 
S 1511b4,4 hit 
L 111294,4 hit 
S 1511b8,4 hit 
L 111298,4 hit 
L 11129c,4 hit 
L 1112a0,4 miss 
L 1112a4,4 hit 
L 111658,4 miss 
S 1511bc,4 hit 
L 11165c,4 hit 
S 1511c0,4 miss 
L 111660,4 miss 
S 1511c4,4 hit 
L 111664,4 hit 
S 1511c8,4 hit 
S 1515dc,4 miss eviction 
S 1515e0,4 miss 
S 1515e4,4 hit 
S 1515e8,4 hit 
L 111668,4 hit 
S 1515ec,4 hit 
L 11166c,4 hit 
S 1515f0,4 hit 
L 111670,4 hit 
S 1515f4,4 hit 
L 111674,4 hit 
S 1515f8,4 hit 
L 11137c,4 miss 
S 1512b8,4 miss eviction 
L 111380,4 miss 
S 1512bc,4 hit 
L 111384,4 hit 
S 1512c0,4 miss 
L 111388,4 hit 
S 1512c4,4 hit 
L 11138c,4 hit 
L 111390,4 hit 
L 111394,4 hit 
L 111398,4 hit 
L 11174c,4 miss 
S 1512c8,4 hit 
L 111750,4 hit 
S 1512cc,4 hit 
L 111754,4 hit 
S 1512d0,4 hit 
L 111758,4 hit 
S 1512d4,4 hit 
S 1516e8,4 miss 
S 1516ec,4 hit 
S 1516f0,4 hit 
S 1516f4,4 hit 
L 11175c,4 hit 
S 1516f8,4 hit 
L 111760,4 miss eviction 
S 1516fc,4 hit 
L 111764,4 hit 
S 151700,4 miss 
L 111768,4 hit 
S 151704,4 hit 
L 1110a0,4 miss eviction 
S 1513c4,4 miss 
L 1110a4,4 hit 
S 1513c8,4 hit 
L 1110a8,4 hit 
S 1513cc,4 hit 
L 1110ac,4 hit 
S 1513d0,4 hit 
L 1110b0,4 hit 
L 1110b4,4 hit 
L 1110b8,4 hit 
L 1110bc,4 hit 
L 111470,4 miss eviction 
S 1513d4,4 hit 
L 111474,4 hit 
S 1513d8,4 hit 
L 111478,4 hit 
S 1513dc,4 hit 
L 11147c,4 hit 
S 1513e0,4 miss 
S 1517f4,4 miss eviction 
S 1517f8,4 hit 
S 1517fc,4 hit 
S 151800,4 miss 
L 111480,4 miss eviction 
S 151804,4 hit 
L 111484,4 hit 
S 151808,4 hit 
L 111488,4 hit 
S 15180c,4 hit 
L 11148c,4 hit 
S 151810,4 hit 
L 1517f4,4 hit 
L 1517f8,4 hit 
L 1517fc,4 hit 
L 151800,4 hit 
L 151804,4 hit 
L 151808,4 hit 
L 15180c,4 hit 
L 151810,4 hit 
L 1516e8,4 hit 
S 1517f4,4 hit 
L 1516ec,4 hit 
S 1517f8,4 hit 
L 1516f0,4 hit 
S 1517fc,4 hit 
L 1516f4,4 hit 
S 151800,4 hit 
L 1516f8,4 hit 
S 151804,4 hit 
L 1516fc,4 hit 
S 151808,4 hit 
L 151700,4 hit 
S 15180c,4 hit 
L 151704,4 hit 
S 151810,4 hit 
L 1515dc,4 hit 
S 1516e8,4 hit 
L 1515e0,4 hit 
S 1516ec,4 hit 
L 1515e4,4 hit 
S 1516f0,4 hit 
L 1515e8,4 hit 
S 1516f4,4 hit 
L 1515ec,4 hit 
S 1516f8,4 hit 
L 1515f0,4 hit 
S 1516fc,4 hit 
L 1515f4,4 hit 
S 151700,4 hit 
L 1515f8,4 hit 
S 151704,4 hit 
L 1514d0,4 hit 
S 1515dc,4 hit 
L 1514d4,4 hit 
S 1515e0,4 hit 
L 1514d8,4 hit 
S 1515e4,4 hit 
L 1514dc,4 hit 
S 1515e8,4 hit 
L 1514e0,4 hit 
S 1515ec,4 hit 
L 1514e4,4 hit 
S 1515f0,4 hit 
L 1514e8,4 hit 
S 1515f4,4 hit 
L 1514ec,4 hit 
S 1515f8,4 hit 
S 1514d0,4 hit 
S 1514d4,4 hit 
S 1514d8,4 hit 
S 1514dc,4 hit 
S 1514e0,4 hit 
S 1514e4,4 hit 
S 1514e8,4 hit 
S 1514ec,4 hit 
L 1514d4,4 hit 
L 1514d8,4 hit 
L 1514dc,4 hit 
L 1515e4,4 hit 
L 1515e8,4 hit 
L 1516f4,4 hit 
L 1515dc,4 hit 
S 1514d4,4 hit 
L 1516e8,4 hit 
S 1514d8,4 hit 
L 1517f4,4 hit 
S 1514dc,4 hit 
L 1516ec,4 hit 
S 1515e4,4 hit 
L 1517f8,4 hit 
S 1515e8,4 hit 
L 1517fc,4 hit 
S 1516f4,4 hit 
S 1515dc,4 hit 
S 1516e8,4 hit 
S 1517f4,4 hit 
S 1516ec,4 hit 
S 1517f8,4 hit 
S 1517fc,4 hit 
L 1514e4,4 hit 
L 1514e8,4 hit 
L 1514ec,4 hit 
L 1515f4,4 hit 
L 1515f8,4 hit 
L 151704,4 hit 
L 1515ec,4 hit 
S 1514e4,4 hit 
L 1516f8,4 hit 
S 1514e8,4 hit 
L 151804,4 hit 
S 1514ec,4 hit 
L 1516fc,4 hit 
S 1515f4,4 hit 
L 151808,4 hit 
S 1515f8,4 hit 
L 15180c,4 hit 
S 151704,4 hit 
S 1515ec,4 hit 
S 1516f8,4 hit 
S 151804,4 hit 
S 1516fc,4 hit 
S 151808,4 hit 
S 15180c,4 hit 
L 1513c4,4 hit 
L 1513c8,4 hit 
L 1513cc,4 hit 
L 1513d0,4 hit 
L 1513d4,4 hit 
L 1513d8,4 hit 
L 1513dc,4 hit 
L 1513e0,4 miss eviction 
L 1512b8,4 hit 
S 1513c4,4 hit 
L 1512bc,4 hit 
S 1513c8,4 hit 
L 1512c0,4 hit 
S 1513cc,4 hit 
L 1512c4,4 hit 
S 1513d0,4 hit 
L 1512c8,4 hit 
S 1513d4,4 hit 
L 1512cc,4 hit 
S 1513d8,4 hit 
L 1512d0,4 hit 
S 1513dc,4 hit 
L 1512d4,4 hit 
S 1513e0,4 hit 
L 1511ac,4 hit 
S 1512b8,4 hit 
